时间,开盘,最高,最低,收盘,涨跌,涨幅%,振幅%,总手(万),金额(亿)
"2016-08-12,五",3231.81,3234.02,3231.4,3233.77,--,0.01,0.081,180018600,1749515400
"2016-08-15,一",3303.47,3307.12,3303.47,3306.49,72.71,2.25,0.113,386104400,4125480600
"2016-08-29,一",3306.58,3307.83,3306.58,3307.66,1.18,0.04,0.038,120926500,1757840900
"2016-08-29,一",3307.33,3307.78,3304.22,3304.47,-3.19,-0.1,0.108,48680900,687483400
"2016-08-29,一",3304.87,3304.87,3303.77,3304.44,-0.03,0,0.033,49602400,711310000
"2016-08-29,一",3304.37,3306.07,3304.37,3306.03,1.59,0.05,0.051,54808600,729950600
"2016-08-29,一",3306.41,3309.27,3306.3,3309.08,3.05,0.09,0.09,54855000,715321500
"2016-08-29,一",3309.06,3310.03,3309.06,3310.03,0.95,0.03,0.029,62020600,783012600
"2016-08-29,一",3310.4,3310.4,3308.09,3308.09,-1.93,-0.06,0.07,62030800,789196800
"2016-08-29,一",3307.74,3307.78,3304.49,3304.63,-3.47,-0.1,0.099,65898700,824411500
"2016-08-29,一",3304.3,3304.3,3302.96,3303.11,-1.52,-0.05,0.041,53751600,645513500
"2016-08-29,一",3303.11,3303.11,3302.01,3302.01,-1.1,-0.03,0.033,52407700,672381400
"2016-08-29,一",3301.82,3301.86,3300.01,3300.01,-2,-0.06,0.056,66500800,717773500
"2016-08-29,一",3300.15,3300.15,3298.21,3298.21,-1.8,-0.05,0.059,53617600,699331300
"2016-08-29,一",3298.3,3298.3,3297.27,3297.28,-0.93,-0.03,0.031,53371200,650450100
"2016-08-29,一",3297.5,3298.87,3297.17,3298.87,1.59,0.05,0.051,54249500,638656600
"2016-08-29,一",3298.38,3299.6,3298.38,3299.53,0.66,0.02,0.037,67309900,743381600
"2016-08-29,一",3299.28,3300.54,3299.28,3300.53,1,0.03,0.038,53532600,635162100
"2016-08-29,一",3300.74,3301.36,3300.4,3301.36,0.84,0.03,0.029,49916100,599373800
"2016-08-29,一",3301.12,3301.57,3300.71,3300.74,-0.63,-0.02,0.026,51813600,608646800
"2016-08-29,一",3300.95,3301.23,3300.23,3300.93,0.2,0.01,0.03,46869800,548412000
"2016-08-29,一",3301.05,3301.31,3300.9,3301.28,0.35,0.01,0.012,41957600,513310000
"2016-08-29,一",3301.45,3302.23,3301.27,3302.04,0.77,0.02,0.029,37365100,460212000
"2016-08-29,一",3301.95,3303.17,3301.75,3302.98,0.94,0.03,0.043,47268900,538128000
"2016-08-29,一",3302.93,3304.07,3302.93,3304.07,1.09,0.03,0.035,42928200,519486000
"2016-08-29,一",3303.35,3303.94,3303.22,3303.94,-0.14,0,0.022,42177200,547914000
"2016-08-29,一",3303.94,3304.15,3302.96,3303.15,-0.79,-0.02,0.036,41054800,475401000
"2016-08-29,一",3303.02,3303.02,3302.16,3302.16,-0.99,-0.03,0.026,54357800,577917000
"2016-08-29,一",3302.07,3302.32,3301.62,3301.62,-0.54,-0.02,0.021,42585400,495613000
"2016-08-29,一",3301.49,3301.77,3301.13,3301.32,-0.3,-0.01,0.02,35466100,455351000
"2016-08-29,一",3301.01,3301.01,3300.42,3300.88,-0.44,-0.01,0.018,41579700,524880000
"2016-08-29,一",3300.64,3300.73,3300.15,3300.56,-0.32,-0.01,0.018,38997700,491260000
"2016-08-29,一",3300.53,3300.53,3300.15,3300.29,-0.27,-0.01,0.012,33776000,436917000
"2016-08-29,一",3300.34,3300.41,3299.89,3300.24,-0.05,0,0.016,34958600,426466000
"2016-08-29,一",3300.26,3300.95,3299.98,3300.95,0.71,0.02,0.029,32880700,407372000
"2016-08-29,一",3300.5,3302.17,3300.48,3301.42,0.47,0.01,0.051,33982500,422329000
"2016-08-29,一",3301.68,3302.98,3301.62,3302.98,1.56,0.05,0.041,34592600,463875000
"2016-08-29,一",3302.87,3303.78,3302.7,3303.78,0.8,0.02,0.033,35467000,458034000
"2016-08-29,一",3303.4,3304.15,3303.39,3304.15,0.37,0.01,0.023,36636000,429471000
"2016-08-29,一",3304.01,3304.88,3303.68,3304.88,0.73,0.02,0.036,37265100,425839000
"2016-08-29,一",3304.69,3305.47,3304.69,3305.47,0.59,0.02,0.023,40201900,439662000
"2016-08-29,一",3305.69,3306.89,3305.46,3306.75,1.29,0.04,0.043,36770100,443184000
"2016-08-29,一",3307,3307.58,3306.75,3307.58,0.83,0.03,0.025,41468800,435161000
"2016-08-29,一",3307.03,3307.6,3307.03,3307.48,-0.1,0,0.017,35939400,412409000
"2016-08-29,一",3307.05,3307.25,3306.39,3306.41,-1.07,-0.03,0.026,35115600,424834000
"2016-08-29,一",3306.91,3306.91,3306.27,3306.5,0.09,0,0.019,30697500,374273000
"2016-08-29,一",3306.54,3306.79,3306.19,3306.71,0.21,0.01,0.018,35708800,443850000
"2016-08-29,一",3306.84,3307.24,3306.54,3307.22,0.51,0.02,0.021,28177800,349516000
"2016-08-29,一",3307.19,3307.6,3306.75,3306.96,-0.27,-0.01,0.026,35023300,385206000
"2016-08-29,一",3306.94,3307.38,3306.22,3306.35,-0.61,-0.02,0.035,34362800,417264000
"2016-08-29,一",3306.32,3306.32,3305.4,3305.96,-0.39,-0.01,0.028,32192000,423141000
"2016-08-29,一",3305.77,3305.77,3304.71,3304.93,-1.03,-0.03,0.032,29332900,351011000
"2016-08-29,一",3304.73,3304.96,3304.32,3304.66,-0.27,-0.01,0.019,32079600,363161000
"2016-08-29,一",3304.61,3305.15,3304.48,3304.68,0.02,0,0.02,27570800,344583000
"2016-08-29,一",3304.62,3304.98,3304.55,3304.74,0.06,0,0.013,24590100,298612000
"2016-08-29,一",3304.88,3304.9,3304.33,3304.7,-0.05,0,0.017,26864600,324145000
"2016-08-29,一",3304.61,3304.77,3303.55,3303.87,-0.82,-0.02,0.037,32567100,348947000
"2016-08-29,一",3303.77,3303.85,3303.47,3303.69,-0.19,-0.01,0.011,29079800,329660000
"2016-08-29,一",3303.81,3303.81,3302.4,3303.07,-0.62,-0.02,0.043,32369100,336339000
"2016-08-29,一",3302.9,3303.55,3302.81,3303.55,0.49,0.01,0.023,26387300,313279000
