时间,开盘,最高,最低,收盘,涨跌,涨幅%,振幅%,总手(万),金额(亿)
"2015-12-30,三",3762.91,3763.89,3751.72,3757.64,--,-0.11,0.323,1120660800,17174580000
"2015-12-30,三",3757.94,3761.81,3754.93,3759.75,2.11,0.06,0.183,784230500,11610203000
"2015-12-30,三",3758.92,3759.56,3749.08,3750.26,-9.49,-0.25,0.279,689938000,9638445000
"2015-12-30,三",3750.06,3756.37,3746.32,3755.14,4.87,0.13,0.268,629446900,8740424000
"2015-12-30,三",3755.23,3763.58,3754.99,3758.43,3.3,0.09,0.229,622786700,8852976000
"2015-12-30,三",3758.37,3760.73,3753.56,3760.11,1.68,0.04,0.191,533262900,8387751000
"2015-12-30,三",3760.2,3760.2,3749.43,3751.65,-8.45,-0.22,0.287,477862200,7098231000
"2015-12-30,三",3751.36,3752.19,3747.84,3751.59,-0.06,0,0.116,357387500,5443847000
"2015-12-30,三",3751.15,3751.15,3737.33,3737.43,-14.17,-0.38,0.368,581596800,8885902000
"2015-12-30,三",3737.12,3739.51,3727.06,3727.06,-10.37,-0.28,0.333,645453100,9490704000
"2015-12-30,三",3726.69,3741.49,3726.35,3740.79,13.73,0.37,0.406,549724200,7968355000
"2015-12-30,三",3741.46,3752.02,3738.88,3748.34,7.55,0.2,0.351,533438400,8019754000
"2015-12-30,三",3748.26,3758.57,3745.58,3758.09,9.76,0.26,0.346,561216800,8328605000
"2015-12-30,三",3757.37,3758.05,3751.44,3757.04,-1.05,-0.03,0.176,549612500,8311943000
"2015-12-30,三",3757.05,3759.39,3749.24,3749.46,-7.59,-0.2,0.27,751435600,11028250000
"2015-12-30,三",3749.32,3765.18,3748.71,3765.18,15.72,0.42,0.439,1174942600,16764120000
"2015-12-31,四",3760.9,3769.42,3757.32,3769.42,4.24,0.11,0.321,984357800,14669460000
"2015-12-31,四",3769.69,3772.49,3760.51,3760.51,-8.91,-0.24,0.318,823995400,11836417000
"2015-12-31,四",3760.41,3761.45,3755.77,3761.45,0.94,0.02,0.151,595542100,8332372000
"2015-12-31,四",3761.75,3767.19,3761.52,3761.87,0.42,0.01,0.151,550955800,7759596000
"2015-12-31,四",3761.86,3762.47,3755.6,3761.25,-0.62,-0.02,0.182,486738000,7283780000
"2015-12-31,四",3761.4,3766.44,3758,3763.55,2.3,0.06,0.224,457448900,6754239000
"2015-12-31,四",3763.31,3763.75,3745.3,3746.36,-17.19,-0.46,0.49,554986500,8267354000
"2015-12-31,四",3745.95,3750.2,3738.89,3739.1,-7.27,-0.19,0.302,493441500,7394915000
"2015-12-31,四",3739.04,3744.39,3735.24,3737.37,-1.73,-0.05,0.245,483814300,6902935000
"2015-12-31,四",3737.21,3739.64,3727.46,3739.64,2.27,0.06,0.326,576799000,7852470000
"2015-12-31,四",3738.97,3748.46,3736.93,3747.27,7.63,0.2,0.308,408688800,6264293000
"2015-12-31,四",3747.49,3755.4,3740.83,3755.37,8.1,0.22,0.389,452238700,5852230000
"2015-12-31,四",3755.13,3756.15,3747.45,3747.45,-7.92,-0.21,0.232,481644800,7056976000
"2015-12-31,四",3746.91,3756.55,3745.2,3756.44,8.99,0.24,0.303,554314900,7481392000
"2015-12-31,四",3756.35,3761.42,3737.49,3737.52,-18.92,-0.5,0.637,827320400,11413907000
"2015-12-31,四",3737.31,3740.57,3730.08,3731,-6.51,-0.17,0.281,1455068700,19921354000
"2016-01-04,一",3725.86,3726.08,3697.1,3697.93,-33.08,-0.89,0.777,1349193700,19268080000
"2016-01-04,一",3697.26,3697.31,3670.78,3675.01,-22.91,-0.62,0.717,1361715800,18319104000
"2016-01-04,一",3675.18,3675.18,3579.27,3579.39,-95.62,-2.6,2.61,2147037800,26605518000
"2016-01-04,一",3579.1,3614.19,3578.01,3606.38,26.98,0.75,1.01,1295749500,16494141000
"2016-01-04,一",3605.89,3619.8,3602.25,3611.33,4.95,0.14,0.487,713790300,9199458000
"2016-01-04,一",3611.51,3611.88,3598.44,3609.32,-2.01,-0.06,0.372,634734500,8288213000
"2016-01-04,一",3609.8,3609.8,3579.04,3580.05,-29.27,-0.81,0.852,895012500,10540033000
"2016-01-04,一",3580.25,3591.16,3580.07,3581.41,1.36,0.04,0.31,542722100,6671259000
"2016-01-04,一",3581.38,3581.38,3542.59,3542.59,-38.81,-1.08,1.08,1142871500,14112437000
"2016-01-04,一",3542.59,3542.59,3509.79,3509.79,-32.81,-0.93,0.926,583375500,6904487000
"2016-01-04,一",3508.79,3508.79,3469.01,3470.41,-39.38,-1.12,1.13,870864200,9565470000
"2016-01-04,一",3470.41,3470.41,3470.41,3470.41,0,0,0,0,0
"2016-01-04,一",3470.41,3470.41,3470.41,3470.41,0,0,0,0,0
"2016-01-04,一",3470.41,3470.41,3470.41,3470.41,0,0,0,0,0
"2016-01-04,一",3470.41,3470.41,3470.41,3470.41,0,0,0,0,0
